username,id,access_hash
,1795934895,1307895743216672636
,1950992094,8819552407813838137
M_Bonu89,5416159744,3491765425292237279
Nasiba1468,1340366611,-5571560452505012953
,1892577249,5271217859332286920
Naziraliyef_1,6737401030,3228490830607719736
,5895409780,-8725148211567502649
,8394301092,-6478946395127899025
,1967339739,3565355877220486567
Shakhnoza_NL,1978978770,-2968082796616759361
pardayeva_zebo,1298053825,2484003165519043469
,8563707703,-225664189094149846
,7069835840,-2253991227736054090
,7567212238,-5305105506010338371
,6247790677,-8327050898551735365
,7322645853,1264537006008102207
,5213918239,-1260426503373486087
,6782777940,-7512933865896731086
,844051718,6965819042088502786
,5311319422,-6976973591289058293
,8455448045,4598836862998239273
,7832192745,-1392730031937420839
,7766688425,2802478505146991325
ParizodaJohongirSummaya,8463134164,-7906929763542412831
,8722079123,1375596367596917478
,7581243327,-6322736268327638267
,7738198450,5377837900475872927
qorajonova_n,5024887597,8543990528111201292
,7708234204,1275722330346803957
makhl1yo98,6527964469,4919520992629368435
,8605099962,4658308403360488520
Dunyo230107,7648499587,-3544165795627065235
,7923443367,-8452947059933678261
,1240523007,-8519302888193176871
,7839602143,1139724350018544830
,8624824460,-441866085497868393
,1187019310,5813089457135768630
,6936471667,-8783213739846013588
,8738111714,2975201203062313078
,7883203250,-432180195678256669
,8468377765,2528464413311170060
,7620594707,-7076664474608442340
,641188700,-804149501118496544
,5780241206,1729889810816111380
,7284045632,-5142729138104659163
,7726652795,-9099556670545732085
,8631278435,3735189907145199670
khabibullayevnav,7444120187,6392182491723670687
,6658788055,-7331230954164010185
,5635784710,-2431145227223071092
,8690750564,-8298756184477964258
,8794562492,-4180256553527251866
,6338401944,-1316453515250536523
,8150744995,8132102955186140594
,7843259525,8261278644593670223
,8558880261,1859055473871880329
,7699853396,1699546674649105536
,8475120009,3404797745914438741
,5355436272,-7719259422616456577
,7133446239,9210356919324889242
,7029721388,8778043552592565719
,7827439881,3499553573604810461
dilfuz81_86,747945484,306818516178137503
Kamolovna_0224,6355799505,-3782918569764296285
,7799966310,-8413326120813468479
,7041480687,-3509724570137820355
,7557667667,-4649063069396736930
,8478061560,2804852918419154508
,6927506744,1921254907261302405
,7957761524,-6075159248917167629
,8334426597,5819693716474638167
Zulpi0506,6380651320,-3859973460672880948
rustamovich29,884545935,7101879252940804148
,8577788917,-3563613257562061548
,7806885972,-6491223790472305656
,8749351618,-4233009205848146714
,6306704542,-4006607547160917857
,7609128935,-8440216354307161279
,8229024579,5303194850538502936
alijanovna04,2103724832,4071118645865690815
,1167234185,-3637913108544358248
,8382486150,6926328496282838823
,5426334317,-2796250267051202842
,5690655671,649895183645377362
,7620935172,-4354499016727229954
,8016041456,8400961248036450694
,8175766983,-5826120370333374157
,8281991646,2069690369558487182
,1020828178,8498961936039314948
,6079210147,-4025611720610160072
,907198196,5956223212870872714
QobilovaOzoda,696350853,-2254487814279804253
Registredu,6291436393,3569857784532135476
Ohista_Aliyeva,519506549,-2392065858031244950
,6789360141,-8166360983861805556
,8405118116,-9159711010370420652
Nematovvvv7,1331242673,-4692815852790611174
Akam1920,7700674172,1138440589757285426
,6352141615,-9173877723281238792
Yosin2024,6717553486,-3882467718293982676
Shukurulloh_23,7701454264,-2379086658901834391
Umarqulovna99,7880785973,4410268798602672512
,1839525031,4572557694226666488
,7490386604,6206789551862363049
,8673344495,-4932808428391534025
,779119088,-6946522707214201377
,1381287972,2675040803994297391
,6984589290,-4177045474280328220
Belasinejka0193,8105305555,-6749829818318252088
,8014475257,7670850332936241316
,7004413540,-44208661871940717
GofurTovbayev,969308303,-4953719600968466225
,7121556803,9021946104968843672
,8566864095,-5830869889298232437
,8635254330,6673168488547683994
,8757440152,7112565019620938902
,1999496495,-7008807846629335167
,8514108982,7381519003157076325
,1854578743,7219682110923457077
,523997169,2812904002716438072
Gulzoda_654321,5934773337,2346610048136953278
yulduzngman,6953803832,-6056853067747349731
Imronbekyasminabonu,5685698086,-7280282523448189323
,7342248631,7414482440366988943
,8398226522,-7090379121753734982
,6929017229,2793789133945670528
,6106712249,-9208131109549746158
,8408583416,-8368498079522673024
,8436299901,6943184822641211017
muhayyoxon1483,8653034106,1858358489303177311
Mehribonona2,6773330633,-4508607949640978288
,7678057854,-5576757174075538816
,580686931,-5645371736609091734
